Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Marchment,FLA,26,LW/RW,54,18,29,2,47,53,29,14:06,13:13,0:51,0:01,1.417,2.284,3.701,1.429,2.353,3.782,1.288,1.288,2.576,0.333,0.537,0.87,121,14.9%,114,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Draisaitl,EDM,26,C/LW,80,55,55,41,110,40,17,22:20,17:34,3:50,0:56,1.846,1.846,3.691,1.281,1.622,2.903,4.692,3.323,8.015,0.688,0.688,1.375,278,19.8%,53,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Kyrou,STL,23,C/LW/RW,74,27,48,19,75,20,10,16:34,14:37,1:54,0:02,1.321,2.348,3.668,1.219,1.829,3.048,2.125,5.951,8.077,0.365,0.649,1.014,188,14.4%,6,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidney Crosby,PIT,34,C,69,31,53,30,84,32,19,19:58,16:31,3:20,0:06,1.35,2.307,3.657,1.21,1.631,2.842,2.082,5.726,7.809,0.449,0.768,1.217,208,14.9%,50,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mats Zuccarello,MIN,34,RW,70,24,55,28,79,24,21,18:35,15:25,3:06,0:04,1.107,2.536,3.643,0.945,1.89,2.835,1.933,5.798,7.731,0.343,0.786,1.129,159,15.1%,36,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Marchand,BOS,33,LW,70,32,48,27,80,97,16,19:14,14:11,3:24,1:38,1.425,2.138,3.563,1.389,1.691,3.079,1.759,5.027,6.786,0.457,0.686,1.143,242,13.2%,78,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Reinhart,FLA,26,C/RW,78,33,49,31,82,13,25,17:45,13:46,3:21,0:38,1.429,2.122,3.551,0.95,1.788,2.738,3.673,3.444,7.117,0.423,0.628,1.051,186,17.7%,49,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Robertson,DAL,22,LW,74,41,38,21,79,22,16,18:06,15:25,2:40,0:00,1.835,1.701,3.537,1.471,1.576,3.047,3.94,2.424,6.364,0.554,0.514,1.068,220,18.6%,50,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Fiala,MIN,25,LW/RW,82,33,52,17,85,52,23,17:38,14:01,2:41,0:55,1.369,2.157,3.525,1.408,2.086,3.494,1.359,3.261,4.619,0.402,0.634,1.037,262,12.6%,52,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.T. Miller,VAN,28,C/LW,80,32,67,38,99,47,15,21:04,15:40,3:18,2:05,1.139,2.385,3.524,1.148,1.675,2.823,1.814,6.801,8.615,0.4,0.838,1.238,206,15.5%,172,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikko Rantanen,COL,25,C/RW,75,36,56,35,92,56,35,20:58,17:02,3:54,0:01,1.373,2.136,3.51,0.939,1.737,2.676,3.28,3.895,7.175,0.48,0.747,1.227,254,14.2%,58,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hughes,NJD,20,C/LW,49,26,30,14,56,0,-16,19:33,16:36,2:52,0:04,1.627,1.878,3.505,1.474,1.621,3.095,2.553,3.403,5.956,0.531,0.612,1.143,165,15.8%,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Duchene,NSH,30,C/RW,78,43,43,29,86,38,6,19:00,15:49,3:10,0:01,1.74,1.74,3.479,1.312,1.458,2.771,3.884,3.156,7.04,0.551,0.551,1.103,228,18.9%,31,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Pastrnak,BOS,25,RW,72,40,37,26,77,20,13,18:36,15:01,3:32,0:01,1.792,1.657,3.449,1.386,1.441,2.827,3.526,2.586,6.112,0.556,0.514,1.069,312,12.8%,63,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Thomas,STL,22,C/RW,72,20,57,14,77,16,17,18:46,15:08,2:02,1:35,0.888,2.53,3.417,0.826,2.478,3.304,1.223,4.484,5.707,0.278,0.792,1.069,115,17.4%,13,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Landeskog,COL,29,C/LW,51,30,29,15,59,78,27,20:19,16:16,3:58,0:04,1.737,1.679,3.416,1.663,1.518,3.181,2.071,2.367,4.438,0.588,0.569,1.157,150,20.0%,94,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel Buchnevich,STL,26,LW/RW,73,30,46,19,76,34,29,18:18,14:27,2:14,1:35,1.347,2.066,3.413,1.137,1.876,3.013,2.925,4.022,6.948,0.411,0.63,1.041,199,15.1%,57,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Ovechkin,WSH,36,LW,77,50,40,29,90,18,8,20:34,15:48,4:45,0:00,1.894,1.515,3.409,1.627,1.331,2.958,2.62,2.129,4.75,0.649,0.519,1.169,334,15.0%,155,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgeni Malkin,PIT,35,C,41,20,22,20,42,24,-10,18:19,14:33,3:45,0:00,1.597,1.756,3.353,1.106,1.106,2.211,3.5,4.278,7.779,0.488,0.537,1.024,129,15.5%,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesper Bratt,NJD,23,LW/RW,76,26,47,18,73,16,0,17:25,14:39,2:43,0:02,1.178,2.129,3.307,1.239,1.723,2.962,0.87,4.352,5.223,0.342,0.618,0.961,197,13.2%,26,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Guentzel,PIT,27,LW/RW,76,40,44,22,84,44,13,20:05,16:28,3:33,0:04,1.571,1.728,3.3,1.582,1.39,2.972,1.556,3.334,4.89,0.526,0.579,1.105,264,15.2%,72,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Pacioretty,VGK,33,LW,39,19,18,12,37,33,8,17:22,14:40,2:41,0:00,1.682,1.593,3.275,1.572,1.048,2.621,2.285,4.57,6.855,0.487,0.462,0.949,148,12.8%,30,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Aho,CAR,24,C,79,37,44,28,81,38,18,18:57,14:05,2:58,1:54,1.483,1.763,3.246,1.24,1.456,2.696,3.328,3.84,7.168,0.468,0.557,1.025,221,16.7%,76,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Connor,WPG,25,LW,79,47,46,28,93,4,-3,21:46,16:59,3:23,1:23,1.639,1.604,3.244,1.609,1.162,2.772,1.789,4.473,6.262,0.595,0.582,1.177,317,14.8%,32,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Kane,CHI,33,RW,78,26,66,31,92,18,-19,21:49,18:00,3:47,0:01,0.916,2.326,3.243,0.726,1.879,2.606,1.828,4.468,6.296,0.333,0.846,1.179,287,9.1%,11,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Nylander,TOR,25,LW/RW,81,34,46,31,80,16,-9,18:16,14:56,3:01,0:18,1.378,1.865,3.243,1.041,1.387,2.428,3.19,4.416,7.606,0.42,0.568,0.988,256,13.3%,19,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Boldy,MIN,20,LW/RW,47,15,24,10,39,10,17,15:22,13:01,2:20,0:00,1.246,1.993,3.238,1.177,1.667,2.844,1.632,3.808,5.441,0.319,0.511,0.83,113,13.3%,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Pavelski,DAL,37,C/RW,82,27,54,25,81,14,11,18:28,15:14,2:44,0:29,1.069,2.139,3.208,0.72,1.969,2.689,3.208,3.475,6.683,0.329,0.659,0.988,216,12.5%,104,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Tavares,TOR,31,C,79,27,49,26,76,32,-8,18:04,15:03,2:59,0:01,1.135,2.06,3.194,0.858,1.665,2.522,2.534,4.055,6.59,0.342,0.62,0.962,237,11.4%,90,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrik Laine,CBJ,23,LW/RW,56,26,30,14,56,24,-7,18:49,15:24,3:24,0:00,1.48,1.707,3.187,1.461,1.461,2.922,1.57,2.826,4.396,0.464,0.536,1,167,15.6%,34,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brayden Schenn,STL,30,C/LW/RW,62,24,34,17,58,33,21,17:46,14:53,2:23,0:29,1.306,1.85,3.157,1.105,1.559,2.664,2.824,4.035,6.859,0.387,0.548,0.935,111,21.6%,119,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Duclair,FLA,26,LW/RW,74,31,27,21,58,30,19,14:59,12:19,2:33,0:06,1.676,1.46,3.136,1.446,0.986,2.433,2.861,3.815,6.675,0.419,0.365,0.784,167,18.6%,38,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo Meier,SJS,25,LW/RW,77,35,41,18,76,54,-3,19:09,16:27,2:38,0:02,1.423,1.667,3.091,1.088,1.656,2.745,3.531,1.766,5.297,0.455,0.532,0.987,326,10.7%,162,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Rust,PIT,29,LW/RW,60,24,34,21,58,14,7,18:46,14:33,3:26,0:46,1.279,1.811,3.09,1.03,1.511,2.541,2.615,3.487,6.103,0.4,0.567,0.967,180,13.3%,43,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Schmaltz,ARI,25,C/RW,63,23,36,8,59,14,1,18:14,15:21,2:23,0:29,1.201,1.879,3.08,1.179,1.985,3.164,1.589,1.589,3.178,0.365,0.571,0.937,123,18.7%,15,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Bunting,TOR,26,LW,79,23,40,5,63,80,27,15:32,14:14,1:17,0:00,1.124,1.955,3.079,1.12,1.974,3.094,1.18,1.769,2.949,0.291,0.506,0.797,175,13.1%,85,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Svechnikov,CAR,21,LW/RW,78,30,39,22,69,79,19,17:15,14:22,2:52,0:00,1.337,1.738,3.075,1.124,1.391,2.515,2.412,3.484,5.897,0.385,0.5,0.885,249,12.1%,189,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mika Zibanejad,NYR,28,C,81,29,52,28,81,12,30,19:37,14:48,2:59,1:50,1.094,1.962,3.056,0.65,1.751,2.401,3.715,3.22,6.935,0.358,0.642,1,219,13.2%,67,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Kreider,NYR,30,LW/RW,81,52,25,35,77,24,19,18:43,14:16,2:57,1:29,2.057,0.989,3.045,1.194,0.83,2.024,6.494,2.248,8.742,0.642,0.309,0.951,258,20.2%,141,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Batherson,OTT,23,RW,46,17,27,14,44,32,4,18:55,15:38,3:16,0:01,1.171,1.861,3.032,1.168,1.335,2.503,1.196,4.385,5.581,0.37,0.587,0.957,110,15.5%,89,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Lindholm,CGY,27,C/RW,82,42,40,19,82,22,61,19:56,14:56,2:53,2:07,1.541,1.467,3.008,1.519,1.47,2.988,2.535,2.282,4.817,0.512,0.488,1,235,17.9%,66,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Perron,STL,33,LW/RW,67,27,30,26,57,48,8,16:59,14:17,2:41,0:00,1.423,1.582,3.005,1.002,0.94,1.942,3.665,4.998,8.663,0.403,0.448,0.851,177,15.3%,80,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roope Hintz,DAL,25,C/LW,80,37,35,24,72,28,15,18:02,14:20,2:32,1:09,1.539,1.455,2.994,1.307,0.994,2.301,2.663,4.438,7.101,0.463,0.438,0.9,213,17.4%,82,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Scheifele,WPG,28,C,67,29,41,19,70,23,-17,21:08,17:35,3:28,0:04,1.229,1.737,2.966,1.12,1.476,2.596,1.805,3.095,4.9,0.433,0.612,1.045,159,18.2%,36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Larkin,DET,25,C,71,31,38,13,69,47,-18,19:39,16:17,2:51,0:30,1.332,1.633,2.966,1.297,1.556,2.853,1.771,2.066,3.836,0.437,0.535,0.972,212,14.6%,76,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Marchessault,VGK,31,C/LW/RW,76,30,36,20,66,36,3,17:34,15:25,2:08,0:01,1.347,1.617,2.964,1.28,1.075,2.354,1.845,5.536,7.382,0.395,0.474,0.868,251,12.0%,61,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolaj Ehlers,WPG,25,LW/RW,62,28,27,9,55,20,18,18:04,15:49,2:14,0:00,1.5,1.446,2.946,1.468,1.346,2.814,1.732,2.165,3.897,0.452,0.435,0.887,245,11.4%,32,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrice Bergeron,BOS,36,C,73,25,40,23,65,32,26,18:10,13:27,3:02,1:40,1.131,1.809,2.94,1.038,1.343,2.381,2.165,4.059,6.224,0.342,0.548,0.89,293,8.5%,78,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Terry,ANA,24,RW,75,37,30,15,67,26,-11,18:14,16:10,2:02,0:01,1.623,1.316,2.939,1.435,1.138,2.572,3.126,2.735,5.861,0.493,0.4,0.893,192,19.3%,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tage Thompson,BUF,24,C/LW/RW,78,38,30,16,68,37,-17,17:52,14:23,2:38,0:50,1.636,1.291,2.927,1.389,1.282,2.672,2.915,1.749,4.664,0.487,0.385,0.872,253,15.0%,66,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evgeny Kuznetsov,WSH,29,C,79,24,54,27,78,44,7,20:16,15:25,3:44,1:07,0.899,2.022,2.921,0.64,1.625,2.266,1.625,3.86,5.486,0.304,0.684,0.987,208,11.5%,42,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Johansen,NSH,29,C,79,26,37,24,63,53,-2,16:33,13:20,3:02,0:11,1.192,1.696,2.888,0.854,1.367,2.221,2.751,3.251,6.002,0.329,0.468,0.797,118,22.0%,72,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teuvo Teräväinen,CAR,27,LW/RW,77,22,43,31,65,24,22,17:41,13:09,2:56,1:35,0.969,1.893,2.862,0.651,1.184,1.835,2.384,5.827,8.21,0.286,0.558,0.844,202,10.9%,15,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Wheeler,WPG,35,C/RW,65,17,43,20,60,36,-15,19:32,16:04,3:10,0:17,0.803,2.032,2.835,0.804,1.494,2.298,0.872,4.941,5.813,0.262,0.662,0.923,167,10.2%,62,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Josi,NSH,31,D,80,23,73,37,96,46,13,25:32,21:27,3:23,0:42,0.675,2.143,2.818,0.419,1.643,2.062,2.438,5.762,8.2,0.288,0.913,1.2,281,8.2%,66,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andre Burakovsky,COL,26,LW/RW,80,22,39,11,61,18,12,16:15,14:14,2:01,0:00,1.014,1.798,2.813,0.948,1.686,2.634,1.486,2.601,4.088,0.275,0.488,0.763,149,14.8%,49,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Keller,ARI,23,LW/RW,67,28,35,11,63,28,3,20:08,16:06,2:52,1:09,1.245,1.556,2.801,1.223,1.557,2.78,1.555,1.866,3.422,0.418,0.522,0.94,177,15.8%,17,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evander Kane,EDM,30,LW/RW,43,22,17,4,39,60,25,19:27,16:39,2:26,0:21,1.578,1.22,2.798,1.424,1.257,2.681,1.712,0.571,2.283,0.512,0.395,0.907,152,14.5%,135,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Nelson,NYI,30,C,72,37,22,14,59,33,-5,17:40,14:41,2:14,0:43,1.744,1.037,2.782,1.474,1.077,2.552,4.076,1.112,5.188,0.514,0.306,0.819,171,21.6%,31,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Skinner,BUF,29,LW,80,33,30,11,63,42,-14,17:06,14:14,2:48,0:00,1.447,1.315,2.763,1.474,1.263,2.737,1.333,1.6,2.932,0.413,0.375,0.788,262,12.6%,29,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Hall,BOS,30,LW,81,20,41,15,61,42,11,16:24,13:33,2:49,0:01,0.903,1.851,2.754,0.71,1.803,2.513,1.835,2.098,3.933,0.247,0.506,0.753,217,9.2%,55,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Bertuzzi,DET,26,LW/RW,68,30,32,14,62,47,-11,19:52,16:12,2:56,0:43,1.332,1.421,2.753,1.253,1.253,2.505,1.799,2.399,4.198,0.441,0.471,0.912,180,16.7%,65,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Pettersson,VAN,23,C/LW,80,32,36,27,68,12,1,18:35,14:44,3:14,0:37,1.291,1.452,2.743,1.018,0.967,1.984,2.32,3.943,6.263,0.4,0.45,0.85,192,16.7%,49,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex DeBrincat,CHI,24,LW/RW,82,41,37,28,78,19,-13,20:51,16:35,3:37,0:38,1.438,1.298,2.736,1.191,1.015,2.206,2.828,2.828,5.656,0.5,0.451,0.951,270,15.2%,101,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Giroux,FLA,33,C/LW/RW,75,21,44,23,65,26,-5,19:04,15:01,3:13,0:49,0.881,1.846,2.727,0.852,1.384,2.236,1.241,4.469,5.711,0.28,0.587,0.867,205,10.2%,68,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Zegras,ANA,20,C/LW,75,23,38,17,61,50,-21,17:54,15:15,2:37,0:00,1.028,1.698,2.725,0.734,1.572,2.306,2.74,2.436,5.175,0.307,0.507,0.813,181,12.7%,56,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brayden Point,TBL,25,C/RW,66,28,30,22,58,33,-5,19:27,15:49,3:36,0:01,1.308,1.401,2.709,1.034,1.034,2.068,2.523,3.028,5.552,0.424,0.455,0.879,176,15.9%,75,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Tkachuk,OTT,22,LW,79,30,37,17,67,117,-7,18:47,15:32,3:11,0:04,1.212,1.495,2.707,1.026,1.417,2.443,2.146,1.907,4.053,0.38,0.468,0.848,288,10.4%,270,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathew Barzal,NYI,24,C,73,15,44,20,59,18,-15,18:01,15:20,2:39,0:01,0.684,2.007,2.691,0.75,1.34,2.09,0.309,5.875,6.184,0.205,0.603,0.808,161,9.3%,36,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Norris,OTT,22,C,66,35,20,23,55,16,-7,18:34,14:46,3:13,0:34,1.713,0.979,2.691,1.169,0.8,1.969,4.5,1.969,6.468,0.53,0.303,0.833,172,20.4%,79,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
