Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Gaudreau,CGY,28,LW/RW,82,40,75,25,115,26,64,18:34,15:33,2:56,0:03,1.576,2.955,4.531,1.598,2.632,4.231,1.489,4.714,6.203,0.488,0.915,1.402,262,15.3%,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Huberdeau,FLA,28,LW,80,30,85,38,115,54,35,19:25,13:54,3:41,1:49,1.159,3.283,4.441,1.187,2.698,3.885,1.016,6.709,7.725,0.375,1.063,1.438,222,13.5%,99,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikita Kucherov,TBL,28,RW,47,25,44,30,69,22,1,19:58,16:04,3:53,0:01,1.597,2.811,4.408,1.271,1.827,3.098,2.954,6.893,9.848,0.532,0.936,1.468,156,16.0%,32,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matthew Tkachuk,CGY,24,LW/RW,82,42,62,29,104,68,57,17:53,14:57,2:54,0:01,1.717,2.535,4.252,1.468,2.201,3.669,3.018,4.276,7.294,0.512,0.756,1.268,253,16.6%,93,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Stamkos,TBL,31,C/RW,81,42,64,36,106,36,24,18:28,14:22,3:42,0:23,1.684,2.566,4.249,1.339,2.266,3.606,3.197,3.996,7.194,0.519,0.79,1.309,241,17.4%,93,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auston Matthews,TOR,24,C,73,60,46,29,106,18,20,20:36,17:27,3:05,0:03,2.393,1.834,4.227,2.072,1.554,3.627,4.252,3.455,7.708,0.822,0.63,1.452,348,17.2%,67,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Kaprizov,MIN,24,LW/RW,81,47,61,31,108,34,27,19:06,15:45,3:18,0:02,1.822,2.365,4.187,1.551,2.068,3.62,3.135,3.806,6.941,0.58,0.753,1.333,289,16.3%,73,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor McDavid,EDM,24,C,80,44,79,44,123,45,28,22:03,18:08,3:43,0:12,1.495,2.685,4.181,1.406,1.819,3.225,2.014,6.849,8.863,0.55,0.988,1.538,314,14.0%,75,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Forsberg,NSH,27,LW,69,42,42,27,84,22,12,18:05,14:55,3:08,0:01,2.018,2.018,4.036,1.865,1.457,3.321,2.765,4.7,7.465,0.609,0.609,1.217,226,18.6%,112,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemi Panarin,NYR,30,LW,75,22,74,37,96,18,21,19:12,16:13,2:59,0:00,0.916,3.081,3.997,0.839,2.072,2.911,1.337,8.56,9.897,0.293,0.987,1.28,177,12.4%,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksander Barkov,FLA,26,C,67,39,49,26,88,18,36,20:18,14:39,3:29,2:09,1.72,2.161,3.881,1.405,2.077,3.483,3.082,3.596,6.678,0.582,0.731,1.313,214,18.2%,50,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladimir Tarasenko,STL,30,RW,75,34,48,22,82,32,7,16:54,14:11,2:40,0:02,1.608,2.271,3.879,1.634,1.69,3.325,1.496,5.086,6.582,0.453,0.64,1.093,230,14.8%,83,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Marner,TOR,24,RW,72,35,62,25,97,16,23,20:52,15:46,3:06,1:59,1.397,2.474,3.871,1.373,2.218,3.591,1.61,5.097,6.707,0.486,0.861,1.347,224,15.6%,75,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan MacKinnon,COL,26,C,65,32,56,27,88,42,22,21:03,17:20,3:40,0:03,1.403,2.454,3.857,1.331,1.917,3.248,1.761,5.031,6.792,0.492,0.862,1.354,299,10.7%,68,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazem Kadri,COL,31,C,71,28,59,29,87,71,13,19:14,14:53,3:52,0:28,1.23,2.591,3.821,1.135,2.156,3.291,1.745,4.58,6.324,0.394,0.831,1.225,247,11.3%,52,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
