Brady Tkachuk,OTT,LW,54,20,22,42,-3,94,190,2,5,2,0,0,198,23
Jesper Bratt,NJ,LW,53,19,36,55,4,16,141,6,3,13,0,0,17,17
Nathan MacKinnon,COL,C,44,19,41,60,12,23,216,3,5,15,0,0,40,33
Pavel Buchnevich,STL,LW,50,19,27,46,18,32,143,3,5,9,1,2,34,7
Zach Hyman,EDM,RW,52,19,18,37,-5,28,145,2,4,2,1,2,57,18
Evgeny Kuznetsov,WAS,C,57,19,38,57,10,26,149,4,6,13,2,2,29,20
Vladimir Tarasenko,STL,RW,52,19,30,49,0,26,165,5,4,11,0,1,58,31
Patrick Kane,CHI,RW,55,19,46,65,-13,10,208,2,6,16,0,0,9,16
Logan Couture,SJ,C,53,19,23,42,-4,18,135,2,4,7,2,1,72,42
Sidney Crosby,PIT,C,47,19,38,57,12,20,138,6,6,16,0,0,41,22
John Tavares,TOR,C,57,19,35,54,-4,24,175,1,7,10,0,0,55,33
Marcus Foligno,MIN,LW,53,19,12,31,14,95,76,3,4,2,0,0,174,28
Mats Zuccarello,MIN,RW,49,19,41,60,21,12,107,1,5,16,0,0,25,27
Jonathan Huberdeau,FLA,LW,58,18,64,82,22,30,159,2,3,24,1,1,77,23
Tom Wilson,WAS,RW,56,18,22,40,9,70,110,4,4,4,2,1,170,36
Alex Killorn,TB,C,57,18,29,47,3,48,111,1,3,5,0,0,61,18
Andre Burakovsky,COL,LW,57,18,26,44,11,14,102,4,4,4,0,0,35,25
Viktor Arvidsson,LA,LW,50,18,20,38,5,22,183,3,4,3,0,0,15,36
Ivan Barbashev,STL,LW,56,18,24,42,9,28,86,1,4,4,1,1,99,23
Joel Eriksson Ek,MIN,C,52,18,13,31,8,24,157,2,10,1,0,0,94,29
Elias Pettersson,VAN,C,59,18,24,42,1,8,121,2,7,10,2,0,30,34
Tanner Jeannot,NSH,LW,57,18,15,33,11,96,93,3,2,1,1,0,193,39
Jack Hughes,NJ,C,38,18,26,44,-10,0,126,2,4,8,0,0,4,12
Lucas Raymond,DET,RW,58,18,27,45,-9,12,130,2,5,9,0,0,45,16
Brock Boeser,VAN,RW,53,17,17,34,-6,14,149,4,9,6,0,1,21,19
Robby Fabbri,DET,LW,56,17,13,30,-23,35,123,1,6,2,0,0,86,19
Evan Rodrigues,PIT,C,59,17,19,36,4,6,173,2,7,1,0,0,66,24
Brandon Saad,STL,LW,53,17,14,31,8,6,109,1,5,2,1,1,17,13
Phillip Danault,LA,C,57,17,18,35,16,30,135,3,0,1,0,1,54,30
Nino Niederreiter,CAR,RW,51,17,14,31,19,16,99,4,4,1,0,0,74,11
Tyler Seguin,DAL,C,55,17,14,31,-10,24,142,2,3,7,0,0,70,19
Paul Stastny,WPG,C,48,17,13,30,4,10,84,2,4,3,0,0,20,17
Claude Giroux,PHI,C,54,17,24,41,-13,16,143,0,3,9,0,0,42,13
Patrice Bergeron,BOS,C,54,16,28,44,13,24,211,3,7,13,0,2,65,35
Corey Perry,TB,RW,57,16,15,31,6,51,105,3,4,1,0,0,54,19
Brayden Schenn,STL,C,41,16,18,34,18,25,72,2,5,4,0,0,61,10
Tyler Toffoli,CGY,RW,49,16,22,38,-7,4,132,1,6,7,1,1,56,18
Rickard Rakell,ANH,C,50,16,12,28,-7,8,135,1,5,4,0,0,58,32
Reilly Smith,VGK,RW,56,16,22,38,4,8,150,3,3,4,2,2,55,23
Teuvo Teravainen,CAR,C,52,16,30,46,13,18,150,1,8,17,2,0,13,24
Nick Schmaltz,ARI,RW,38,16,22,38,10,4,68,3,2,3,0,0,9,11
Trevor Zegras,ANH,C,53,16,27,43,-18,42,124,4,6,8,0,0,34,17
Nico Hischier,NJ,C,50,16,22,38,-6,17,112,1,4,6,0,1,33,36
Artemi Panarin,NYR,LW,53,15,48,63,2,16,128,5,5,23,0,0,12,12
Dylan Strome,CHI,C,46,15,16,31,-3,22,89,1,5,6,0,0,6,20
Lawson Crouse,ARI,LW,56,15,12,27,-3,50,112,3,1,3,0,0,163,33
Jake DeBrusk,BOS,LW,53,15,10,25,-1,8,122,5,2,1,0,0,35,19
Aaron Ekblad,FLA,D,57,15,39,54,38,24,171,2,3,16,0,3,56,66
Conor Sheary,WAS,LW,50,15,14,29,0,14,96,4,2,3,0,0,33,30
Josh Anderson,MON,RW,46,15,9,24,-20,47,105,1,1,1,0,0,104,18
Ondrej Palat,TB,LW,52,15,19,34,9,16,96,5,1,4,0,0,85,29
Vincent Trocheck,CAR,C,57,15,23,38,13,66,106,3,5,6,0,0,129,33
Jordan Eberle,SEA,RW,58,15,19,34,-28,8,123,2,3,4,0,0,37,33
Roman Josi,NSH,D,55,15,46,61,14,34,193,2,7,18,0,0,41,88
Anze Kopitar,LA,C,59,15,36,51,-7,10,159,2,5,11,0,1,45,49
Kyle Okposo,BUF,RW,53,15,19,34,-13,35,129,1,6,6,1,0,40,12
