Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
Anthony Cirelli,TBL,24,RW,68,16,28,5,44,30,28,18:27,14:43,0:57,2:48,0.765,1.338,2.103,0.839,1.378,2.217,0.924,3.698,4.622,0.235,0.412,0.647,113,14.2%,89,47
Tyler Bertuzzi,DET,24,LW,71,21,27,14,48,40,-23,19:18,15:59,3:08,0:10,0.919,1.181,2.1,0.951,0.846,1.797,0.807,2.957,3.764,0.296,0.38,0.676,129,16.3%,71,30
Jared McCann,SEA,25,C,66,14,21,6,35,17,6,15:14,13:03,1:41,0:30,0.835,1.252,2.087,0.836,1.184,2.02,1.077,2.155,3.232,0.212,0.318,0.53,150,9.3%,89,27
Victor Hedman,TBL,31,D,66,11,44,22,55,31,27,24:03,18:36,3:05,2:21,0.416,1.663,2.078,0.342,1.27,1.612,1.176,5.292,6.468,0.167,0.667,0.833,155,7.1%,73,97
Anders Lee,NYI,29,LW,68,20,23,7,43,47,8,18:17,15:59,2:17,0:00,0.965,1.11,2.075,0.993,0.993,1.987,0.772,1.931,2.704,0.294,0.338,0.632,195,10.3%,102,50
Jamie Benn,DAL,32,LW,69,19,20,14,39,53,-4,16:26,13:45,2:23,0:16,1.005,1.058,2.063,0.695,0.885,1.58,2.902,2.176,5.078,0.275,0.29,0.565,163,11.7%,167,57
Nico Hischier,NJD,20,C,58,14,22,10,36,12,-16,18:03,14:27,2:41,0:55,0.802,1.26,2.062,0.787,0.931,1.718,0.77,3.078,3.848,0.241,0.379,0.621,123,11.4%,48,37
Andrew Mangiapane,CGY,25,LW,68,17,15,1,32,18,4,13:42,13:10,0:30,0:00,1.095,0.966,2.061,1.139,0.938,2.077,0,1.709,1.709,0.25,0.221,0.471,109,15.6%,73,25
Jake DeBrusk,BOS,23,LW,65,19,16,10,35,14,-1,16:03,13:29,2:33,0:00,1.093,0.92,2.013,0.822,0.89,1.711,2.524,1.082,3.605,0.292,0.246,0.538,161,11.8%,35,15
Kevin Hayes,PHI,28,C,69,23,18,7,41,34,-6,17:43,14:04,1:38,2:00,1.128,0.883,2.011,0.927,0.927,1.853,2.116,1.587,3.704,0.333,0.261,0.594,175,13.1%,88,22
Craig Smith,BOS,32,RW,69,18,13,7,31,34,18,13:25,11:07,2:17,0:00,1.166,0.842,2.008,1.095,0.782,1.877,1.515,1.136,2.651,0.261,0.188,0.449,184,9.8%,60,19
Gustav Nyquist,CBJ,30,LW,70,15,27,9,42,16,4,18:01,14:47,2:34,0:39,0.713,1.283,1.996,0.637,1.216,1.854,0.997,1.994,2.991,0.214,0.386,0.6,151,9.9%,37,26
Ryan Ellis,NSH,28,D,49,8,30,9,38,19,16,23:30,18:56,2:13,2:21,0.417,1.563,1.98,0.388,1.487,1.875,1.105,3.866,4.971,0.163,0.612,0.776,114,7.0%,48,96
Jean-Gabriel Pageau,NYI,29,C,67,26,16,10,42,49,4,19:08,15:07,1:46,2:14,1.216,0.748,1.964,1.066,0.474,1.54,2.517,2.517,5.034,0.388,0.239,0.627,151,17.2%,128,53
Brady Tkachuk,OTT,22,LW,71,21,23,8,44,106,-14,18:56,15:57,2:55,0:03,0.937,1.026,1.963,1.006,0.9,1.906,0.578,1.733,2.31,0.296,0.324,0.62,259,8.1%,303,43
Roman Josi,NSH,31,D,61,15,17,9,32,20,-33,16:08,13:35,2:32,0:00,0.914,1.035,1.949,0.651,1.013,1.664,2.321,1.161,3.482,0.246,0.279,0.525,111,13.5%,75,14
Ryan Dzingel,CAR,27,RW,64,8,21,9,29,30,3,14:09,11:55,2:11,0:01,0.53,1.391,1.921,0.314,1.258,1.572,1.707,2.133,3.84,0.125,0.328,0.453,98,8.2%,36,25
Adam Fox,NYR,23,D,70,8,34,13,42,32,22,18:54,16:47,1:58,0:07,0.363,1.542,1.904,0.357,1.123,1.48,0.432,5.189,5.621,0.114,0.486,0.6,125,6.4%,35,92
Vladislav Namestnikov,COL,27,LW,65,17,14,4,31,45,-5,15:03,11:47,1:31,1:44,1.042,0.858,1.9,0.862,0.783,1.645,1.208,1.208,2.416,0.262,0.215,0.477,98,17.4%,108,47
Charlie Coyle,BOS,27,RW,70,16,21,5,37,21,9,16:47,14:01,1:52,0:54,0.817,1.072,1.889,0.795,1.039,1.834,0.459,1.835,2.294,0.229,0.3,0.529,145,11.0%,83,34
Ryan Johansen,NSH,29,C,68,14,22,9,36,45,-5,17:03,13:28,2:41,0:53,0.724,1.138,1.862,0.655,1.048,1.703,0.985,1.969,2.954,0.206,0.324,0.529,101,13.9%,39,34
Alex Pietrangelo,VGK,31,D,70,16,36,22,52,20,11,24:11,19:14,3:05,1:50,0.567,1.276,1.843,0.445,0.846,1.291,1.661,4.43,6.092,0.229,0.514,0.743,225,7.1%,47,89
Yanni Gourde,SEA,30,RW,70,10,20,6,30,49,-5,14:03,11:52,0:42,1:27,0.609,1.219,1.828,0.505,1.01,1.516,1.213,6.067,7.28,0.143,0.286,0.429,110,9.1%,78,20
Chris Tierney,OTT,25,LW,71,11,26,2,37,20,-6,17:11,13:55,0:56,2:19,0.541,1.278,1.819,0.364,1.457,1.821,0.897,0.897,1.794,0.155,0.366,0.521,102,10.8%,44,37
Viktor Arvidsson,LAK,28,RW,57,15,13,8,28,26,-4,16:12,13:09,2:28,0:34,0.975,0.845,1.819,0.88,0.72,1.601,1.706,1.706,3.411,0.263,0.228,0.491,127,11.8%,27,24
Pavel Zacha,NJD,24,LW,65,8,24,8,32,14,-12,16:16,12:35,1:38,2:01,0.454,1.362,1.816,0.22,1.246,1.466,1.687,2.812,4.5,0.123,0.369,0.492,97,8.3%,62,19
Connor Brown,OTT,27,RW,71,16,27,4,43,24,-6,20:06,15:50,1:40,2:36,0.672,1.134,1.807,0.694,1.28,1.974,1.52,0.507,2.027,0.225,0.38,0.606,173,9.3%,39,35
Joel Eriksson Ek,MIN,24,C,62,8,21,1,29,22,7,15:43,13:39,0:04,1:59,0.493,1.293,1.786,0.496,1.418,1.914,13.043,0,13.043,0.129,0.339,0.468,102,7.8%,93,43
Nino Niederreiter,CAR,29,RW,67,11,18,11,29,42,-3,14:49,12:54,1:52,0:01,0.665,1.088,1.753,0.486,0.763,1.248,1.909,3.341,5.25,0.164,0.269,0.433,115,9.6%,52,19
Shea Theodore,VGK,26,D,71,13,33,16,46,25,12,22:14,18:59,3:06,0:08,0.494,1.254,1.748,0.49,0.801,1.291,0.272,4.079,4.351,0.183,0.465,0.648,219,5.9%,20,69
Erik Karlsson,SJS,31,D,56,6,34,13,40,16,-15,24:31,18:56,3:00,2:34,0.262,1.486,1.748,0.226,1.245,1.471,0.357,4.28,4.637,0.107,0.607,0.714,120,5.0%,26,74
Kristopher Letang,PIT,34,D,61,15,29,15,44,38,0,25:43,20:00,3:30,2:12,0.574,1.109,1.682,0.443,0.983,1.426,1.68,2.52,4.199,0.246,0.475,0.721,177,8.5%,101,91
Joe Pavelski,DAL,37,C,67,14,17,11,31,29,6,16:55,13:30,2:37,0:47,0.74,0.899,1.64,0.53,0.729,1.26,2.041,1.701,3.741,0.209,0.254,0.463,125,11.2%,62,52
Zachary Werenski,CBJ,22,D,63,20,21,13,41,10,9,23:59,19:16,2:43,1:58,0.794,0.834,1.628,0.692,0.642,1.334,1.745,2.792,4.538,0.317,0.333,0.651,187,10.7%,36,58
Neal Pionk,WPG,26,D,71,6,39,25,45,32,10,23:22,19:32,2:55,0:53,0.217,1.41,1.627,0.13,0.735,0.865,0.867,6.355,7.221,0.085,0.549,0.634,177,3.4%,165,78
Mikael Granlund,NSH,29,RW,63,17,13,6,30,28,-4,17:48,14:34,2:26,0:46,0.909,0.695,1.605,0.784,0.719,1.503,1.557,0.779,2.336,0.27,0.206,0.476,130,13.1%,42,55
Aaron Ekblad,FLA,25,D,67,5,36,6,41,26,12,22:58,19:29,1:26,2:01,0.195,1.403,1.598,0.23,1.332,1.561,0,3.72,3.72,0.075,0.537,0.612,147,3.4%,34,84
Tyson Barrie,EDM,30,D,70,5,34,12,39,16,-7,21:52,19:10,2:40,0:02,0.196,1.332,1.528,0.179,1.028,1.207,0.321,3.534,3.856,0.071,0.486,0.557,169,3.0%,47,76
Brent Burns,SJS,36,D,70,12,33,17,45,34,-22,25:24,20:10,2:46,2:28,0.405,1.113,1.518,0.297,0.85,1.147,1.549,3.717,5.266,0.171,0.471,0.643,225,5.3%,72,115
John Klingberg,DAL,29,D,58,6,26,17,32,22,-10,22:09,19:19,2:32,0:18,0.28,1.213,1.494,0.214,0.589,0.803,0.813,6.097,6.91,0.103,0.448,0.552,120,5.0%,29,72
Nate Schmidt,VGK,28,D,59,7,24,7,31,12,11,21:40,19:02,1:02,1:35,0.328,1.126,1.454,0.32,0.961,1.282,0.972,5.835,6.807,0.119,0.407,0.525,112,6.3%,25,91
Mikhail Sergachyov,TBL,23,D,70,10,24,13,34,58,15,20:22,17:19,1:52,1:09,0.421,1.01,1.431,0.198,0.791,0.989,2.286,3.657,5.943,0.143,0.343,0.486,118,8.5%,106,99
Jeff Petry,MTL,33,D,71,11,29,12,40,26,-10,23:38,19:08,2:24,2:05,0.393,1.037,1.43,0.309,0.883,1.192,1.055,3.164,4.218,0.155,0.408,0.563,158,7.0%,177,79
Ryan Pulock,NYI,25,D,68,10,25,8,35,14,8,22:24,19:09,1:46,1:29,0.394,0.984,1.378,0.323,0.922,1.244,1.498,2.497,3.996,0.147,0.368,0.515,163,6.1%,110,139
Jared Spurgeon,MIN,32,D,62,12,20,13,32,18,-1,22:34,17:37,2:29,2:26,0.514,0.857,1.372,0.494,0.549,1.043,1.162,3.874,5.036,0.194,0.323,0.516,112,10.7%,61,102
Samuel Girard,COL,22,D,70,4,30,13,34,17,1,21:18,18:48,2:24,0:05,0.161,1.207,1.367,0.137,0.82,0.957,0.356,4.272,4.628,0.057,0.429,0.486,96,4.2%,46,92
Jaccob Slavin,CAR,25,D,68,6,30,3,36,10,30,23:24,19:23,0:54,3:06,0.226,1.131,1.357,0.273,1.183,1.456,0,2.894,2.894,0.088,0.441,0.529,145,4.1%,43,107
Miro Heiskanen,DAL,22,D,68,8,27,7,35,12,14,23:46,19:24,2:17,2:04,0.297,1.002,1.299,0.364,0.909,1.273,0,2.699,2.699,0.118,0.397,0.515,163,4.9%,40,84
Oscar Klefbom,EDM,26,D,62,5,29,18,34,24,-17,25:24,19:17,3:37,2:29,0.19,1.104,1.295,0.15,0.652,0.803,0.533,4.264,4.797,0.081,0.468,0.548,159,3.1%,45,180
Seth Jones,CHI,27,D,56,6,24,9,30,20,10,25:16,20:17,2:34,2:25,0.254,1.017,1.271,0.211,0.845,1.056,0.833,2.914,3.747,0.107,0.429,0.536,126,4.8%,62,123
Thomas Chabot,OTT,24,D,71,6,33,11,39,42,-18,26:00,22:30,3:15,0:14,0.195,1.072,1.267,0.225,0.826,1.052,0,2.854,2.854,0.085,0.465,0.549,186,3.2%,79,85
Ivan Provorov,PHI,23,D,69,13,23,16,36,24,11,24:50,19:03,3:02,2:44,0.455,0.805,1.26,0.274,0.593,0.867,1.999,2.57,4.57,0.188,0.333,0.522,150,8.7%,84,111
Rasmus Ristolainen,BUF,25,D,69,6,27,9,33,46,-2,22:47,18:13,2:19,2:15,0.229,1.03,1.259,0.191,0.907,1.098,0.748,2.617,3.364,0.087,0.391,0.478,128,4.7%,203,82
Josh Morrissey,WPG,24,D,65,5,26,12,31,24,1,22:45,20:03,1:44,0:57,0.203,1.054,1.257,0.184,0.69,0.874,0.529,5.815,6.344,0.077,0.4,0.477,120,4.2%,34,59
Mattias Ekholm,NSH,30,D,68,8,25,5,33,32,-1,23:22,19:13,1:19,2:49,0.302,0.944,1.246,0.321,0.872,1.194,0,3.325,3.325,0.118,0.368,0.485,154,5.2%,49,100
Charlie McAvoy,BOS,24,D,67,5,27,2,32,41,24,23:09,19:59,1:20,1:49,0.193,1.044,1.237,0.179,1.12,1.299,0.664,0.664,1.328,0.075,0.403,0.478,101,5.0%,131,132
Drew Doughty,LAK,31,D,67,7,28,14,35,36,-16,25:48,20:35,3:06,2:06,0.243,0.971,1.214,0.087,0.783,0.87,1.439,2.59,4.028,0.104,0.418,0.522,141,5.0%,106,87
Filip Hronek,DET,24,D,65,9,22,10,31,46,-38,23:53,18:07,2:52,2:53,0.348,0.85,1.198,0.408,0.662,1.07,0.321,2.886,3.207,0.138,0.338,0.477,125,7.2%,105,74
Darnell Nurse,EDM,26,D,71,5,28,5,33,48,-2,23:27,20:21,1:03,2:02,0.18,1.009,1.189,0.208,0.955,1.162,0,3.981,3.981,0.07,0.394,0.465,170,2.9%,172,141
Oliver Ekman-Larsson,ARI,29,D,66,9,21,7,30,38,-3,23:00,18:16,2:40,2:04,0.356,0.83,1.185,0.299,0.796,1.095,0.681,1.702,2.383,0.136,0.318,0.455,135,6.7%,129,65
Damon Severson,NJD,25,D,69,8,23,10,31,52,-20,22:57,18:31,1:59,2:27,0.303,0.871,1.174,0.235,0.751,0.986,1.31,3.058,4.368,0.116,0.333,0.449,114,7.0%,81,97
