Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
Jakub Vrana,DET,24,LW,69,25,27,12,52,18,3,14:52,12:55,1:56,0:01,1.461,1.578,3.038,1.615,1.077,2.692,0.448,4.925,5.373,0.362,0.391,0.754,187,13.4%,29,16
Sebastian Aho,CAR,24,C,68,38,28,17,66,26,10,19:25,14:46,2:50,1:48,1.726,1.272,2.998,1.553,1.075,2.628,2.478,2.788,5.266,0.559,0.412,0.971,206,18.5%,55,20
Mark Stone,VGK,28,RW,65,21,42,17,63,27,15,19:24,14:58,2:30,1:55,0.999,1.997,2.996,0.925,1.85,2.774,2.203,4.04,6.243,0.323,0.646,0.969,168,12.5%,56,51
Nikolaj Ehlers,WPG,23,LW,71,25,33,5,58,30,14,16:31,15:10,1:19,0:01,1.278,1.687,2.965,1.17,1.727,2.897,1.906,1.271,3.177,0.352,0.465,0.817,203,12.3%,36,28
Patrice Bergeron,BOS,36,C,61,31,25,20,56,28,23,18:44,13:24,3:36,1:43,1.627,1.312,2.938,1.393,1.173,2.567,2.992,2.448,5.44,0.508,0.41,0.918,203,15.3%,46,46
Kyle Connor,WPG,25,LW,71,38,35,17,73,34,4,21:05,16:44,3:17,1:02,1.523,1.403,2.925,1.413,1.312,2.725,2.306,2.05,4.356,0.535,0.493,1.028,239,15.9%,18,17
John Tavares,TOR,31,C,63,26,34,21,60,24,-7,19:32,16:31,3:00,0:01,1.267,1.656,2.923,1.095,1.153,2.248,2.214,4.429,6.643,0.413,0.54,0.952,197,13.2%,32,31
Matthew Tkachuk,CGY,24,RW,69,23,38,19,61,74,-5,18:18,15:28,2:50,0:00,1.092,1.805,2.897,1.012,1.349,2.361,1.534,4.294,5.828,0.333,0.551,0.884,188,12.2%,122,22
Teuvo Teräväinen,CAR,25,LW,68,15,48,21,63,8,20,19:11,14:24,3:00,1:46,0.69,2.207,2.896,0.612,1.714,2.326,1.174,4.989,6.162,0.221,0.706,0.926,182,8.2%,18,30
Patrik Laine,CBJ,23,LW,68,28,35,16,63,22,8,19:24,16:10,3:13,0:00,1.273,1.591,2.864,1.09,1.472,2.563,2.188,2.188,4.376,0.412,0.515,0.926,226,12.4%,97,35
Alexander Ovechkin,WSH,36,LW,68,48,19,18,67,30,-12,20:39,15:45,4:53,0:01,2.05,0.811,2.861,1.96,0.784,2.744,2.346,0.902,3.248,0.706,0.279,0.985,311,15.4%,184,30
William Nylander,TOR,25,RW,68,31,28,17,59,12,-2,18:12,15:18,2:53,0:00,1.502,1.357,2.859,1.268,1.153,2.42,2.753,2.448,5.201,0.456,0.412,0.868,197,15.7%,9,14
Jakub Vorácek,CBJ,32,LW,69,12,44,17,56,31,14,17:02,14:04,2:56,0:01,0.612,2.245,2.857,0.494,1.916,2.411,1.181,3.837,5.017,0.174,0.638,0.812,132,9.1%,17,21
Blake Wheeler,WPG,35,RW,71,22,43,22,65,37,1,19:18,15:24,3:15,0:39,0.963,1.882,2.844,0.933,1.317,2.25,1.037,4.667,5.704,0.31,0.606,0.915,180,12.2%,102,51
