Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Scheifele,WPG,28,C,56,21,42,17,63,12,-4,20:58,17:40,3:14,0:04,1.072,2.145,3.217,1.031,1.758,2.789,1.323,4.298,5.621,0.375,0.75,1.125,126,16.7%,31,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Kane,CHI,33,RW,56,15,51,22,66,14,-7,22:13,18:15,3:55,0:02,0.723,2.458,3.181,0.704,1.878,2.582,0.82,5.191,6.01,0.268,0.911,1.179,191,7.9%,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared McCann,SEA,25,C/LW,43,14,18,10,32,8,17,14:06,12:05,1:59,0:02,1.384,1.78,3.164,0.808,1.731,2.539,4.918,2.108,7.026,0.326,0.419,0.744,93,15.1%,40,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex DeBrincat,CHI,24,LW/RW,52,32,24,18,56,12,3,20:32,16:17,3:48,0:26,1.798,1.348,3.146,1.558,1.062,2.621,2.723,2.723,5.446,0.615,0.462,1.077,155,20.7%,70,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian Aho,CAR,24,C,56,24,33,18,57,32,16,19:28,14:48,3:01,1:38,1.321,1.816,3.137,1.013,1.592,2.605,2.474,3.888,6.362,0.429,0.589,1.018,148,16.2%,38,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Robertson,DAL,22,LW,51,17,28,6,45,16,13,16:53,14:40,2:12,0:00,1.184,1.951,3.135,1.283,1.844,3.126,0.532,2.661,3.193,0.333,0.549,0.882,127,13.4%,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirill Kaprizov,MIN,24,LW/RW,55,27,24,13,51,16,10,18:17,15:01,3:14,0:01,1.61,1.431,3.041,1.379,1.379,2.758,2.694,1.684,4.378,0.491,0.436,0.927,157,17.2%,29,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Guentzel,PIT,27,LW/RW,56,23,34,18,57,28,7,20:16,17:11,3:01,0:03,1.216,1.797,3.013,1.059,1.309,2.368,2.13,4.26,6.39,0.411,0.607,1.018,141,16.3%,43,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent Trocheck,CAR,28,C,47,17,26,18,43,20,-3,18:13,14:15,2:56,1:02,1.191,1.821,3.012,0.896,1.343,2.239,3.041,4.779,7.819,0.362,0.553,0.915,123,13.8%,107,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Wheeler,WPG,35,C/RW,50,15,31,15,46,50,-17,18:20,15:20,2:55,0:04,0.981,2.028,3.01,0.861,1.565,2.425,1.641,4.513,6.154,0.3,0.62,0.92,113,13.3%,63,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
