Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anze Kopitar,LAK,34,C,56,13,37,23,50,10,-7,21:10,15:51,3:15,2:04,0.658,1.871,2.529,0.676,1.149,1.825,0.986,6.574,7.56,0.232,0.661,0.893,118,11.0%,45,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.T. Miller,VAN,28,C/LW,53,15,31,18,46,43,-7,20:57,15:45,3:29,1:43,0.81,1.674,2.484,0.791,1.15,1.941,0.971,4.856,5.827,0.283,0.585,0.868,106,14.2%,90,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cale Makar,COL,23,D,44,8,36,22,44,12,17,24:17,19:11,4:12,0:54,0.449,2.021,2.47,0.284,1.279,1.564,1.297,5.838,7.135,0.182,0.818,1,104,7.7%,49,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavel Zacha,NJD,24,C/LW,50,17,18,11,35,10,-11,17:09,13:08,2:40,1:20,1.189,1.259,2.448,1.096,1.096,2.192,2.245,2.694,4.94,0.34,0.36,0.7,103,16.5%,42,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesper Bratt,NJD,23,LW/RW,46,7,23,8,30,8,4,16:04,13:16,2:23,0:24,0.568,1.866,2.434,0.491,1.572,2.063,1.092,3.277,4.37,0.152,0.5,0.652,101,6.9%,31,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Suzuki,MTL,22,C/RW,56,15,26,13,41,26,-5,18:10,15:02,2:23,0:44,0.884,1.532,2.416,0.641,1.211,1.852,2.234,3.574,5.808,0.268,0.464,0.732,110,13.6%,70,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyson Barrie,EDM,30,D,56,8,40,23,48,10,4,21:23,17:46,3:29,0:07,0.401,2.003,2.404,0.241,1.265,1.507,1.227,5.827,7.054,0.143,0.714,0.857,146,5.5%,26,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Craig Smith,BOS,32,RW,54,13,19,6,32,18,21,14:52,13:20,1:31,0:00,0.971,1.419,2.39,0.75,1.416,2.166,2.913,1.457,4.37,0.241,0.352,0.593,132,9.9%,66,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Hyman,EDM,29,LW/RW,43,15,18,5,33,28,19,19:21,15:53,1:30,1:57,1.081,1.297,2.378,1.053,1.405,2.458,2.776,1.851,4.627,0.349,0.419,0.767,115,13.0%,69,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Chytil,NYR,21,C/RW,42,8,14,0,22,10,9,13:13,12:35,0:37,0:01,0.864,1.512,2.376,0.908,1.589,2.497,0,0,0,0.19,0.333,0.524,76,10.5%,15,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Bennett,FLA,25,C/LW,48,10,17,3,27,52,-2,14:25,12:14,1:13,0:57,0.867,1.473,2.34,0.918,1.531,2.449,1.027,2.053,3.08,0.208,0.354,0.563,106,9.4%,108,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Copp,NYR,27,C/LW/RW,55,15,24,12,39,20,2,18:15,13:58,1:46,2:29,0.897,1.435,2.331,0.703,1.328,2.031,3.68,3.68,7.361,0.273,0.436,0.709,115,13.0%,67,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxime Comtois,ANA,21,LW/RW,55,16,17,4,33,40,3,15:28,13:41,1:44,0:02,1.128,1.199,2.327,1.195,1.116,2.311,0.627,1.882,2.509,0.291,0.309,0.6,94,17.0%,93,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nino Niederreiter,CAR,29,LW/RW,56,20,14,5,34,29,20,15:43,14:10,1:31,0:00,1.363,0.954,2.318,1.209,0.982,2.191,2.815,0.704,3.519,0.357,0.25,0.607,126,15.9%,68,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Rust,PIT,29,LW/RW,56,22,20,11,42,18,9,19:43,16:34,2:47,0:21,1.195,1.086,2.281,1.034,0.969,2.003,2.309,1.924,4.233,0.393,0.357,0.75,154,14.3%,62,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Norris,OTT,22,C,56,17,18,14,35,13,-12,16:28,13:49,2:31,0:07,1.106,1.171,2.277,0.853,0.775,1.628,2.543,3.391,5.934,0.304,0.321,0.625,96,17.7%,72,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Reinhart,FLA,26,C/RW,54,25,15,16,40,10,-28,19:32,16:27,3:02,0:02,1.422,0.853,2.275,1.013,0.608,1.621,3.651,2.191,5.842,0.463,0.278,0.741,130,19.2%,15,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandler Stephenson,VGK,27,C/LW/RW,51,14,21,5,35,29,22,18:05,14:37,2:05,1:22,0.91,1.365,2.275,0.884,1.367,2.251,1.123,1.684,2.807,0.275,0.412,0.686,83,16.9%,43,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Benn,DAL,32,C/LW,52,11,24,9,35,33,13,17:47,14:41,2:35,0:30,0.714,1.557,2.271,0.628,1.413,2.041,1.339,2.678,4.017,0.212,0.462,0.673,124,8.9%,73,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanni Gourde,SEA,30,C/RW,56,17,19,6,36,44,10,17:04,13:44,1:50,1:28,1.067,1.192,2.259,1.169,1.169,2.338,1.159,2.318,3.477,0.304,0.339,0.643,118,14.4%,51,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clayton Keller,ARI,23,LW/RW,56,14,21,10,35,18,-5,16:39,13:54,2:43,0:01,0.9,1.351,2.251,0.771,1.156,1.927,1.573,2.36,3.933,0.25,0.375,0.625,124,11.3%,20,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Karlsson,VGK,28,C/LW,56,14,25,8,39,4,19,18:40,14:10,2:43,1:46,0.803,1.435,2.238,0.983,1.285,2.268,0.394,2.756,3.15,0.25,0.446,0.696,111,12.6%,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eeli Tolvanen,NSH,21,LW/RW,40,11,11,12,22,4,-10,14:48,12:27,2:20,0:00,1.114,1.114,2.229,0.602,0.602,1.204,3.844,3.844,7.688,0.275,0.275,0.55,65,16.9%,78,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Bailey,NYI,32,LW/RW,54,8,27,9,35,4,12,17:30,14:33,2:00,0:56,0.508,1.714,2.222,0.611,1.374,1.985,0,4.966,4.966,0.148,0.5,0.648,77,10.4%,13,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Batherson,OTT,23,RW,56,17,17,15,34,8,-17,16:28,13:13,3:14,0:00,1.106,1.106,2.211,0.972,0.567,1.538,1.655,3.311,4.966,0.304,0.304,0.607,111,15.3%,102,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Schmaltz,ARI,25,C/RW,52,10,22,7,32,16,-1,17:03,14:17,2:43,0:01,0.676,1.488,2.165,0.565,1.453,2.018,1.267,1.69,2.957,0.192,0.423,0.615,105,9.5%,15,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Eberle,SEA,31,RW,55,16,17,5,33,16,9,16:45,14:27,2:17,0:00,1.042,1.107,2.149,1.132,0.981,2.113,0.476,1.903,2.379,0.291,0.309,0.6,128,12.5%,30,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timo Meier,SJS,25,LW/RW,54,12,19,10,31,22,-5,16:03,14:11,1:44,0:08,0.83,1.315,2.145,0.783,0.861,1.644,1.282,5.127,6.409,0.222,0.352,0.574,155,7.7%,75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Tuch,BUF,25,LW/RW,55,18,15,4,33,28,16,16:49,14:03,2:01,0:45,1.167,0.972,2.139,1.242,1.009,2.251,1.079,1.079,2.159,0.327,0.273,0.6,142,12.7%,52,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Carlson,WSH,31,D,52,10,34,15,44,12,-5,23:46,18:35,3:16,1:55,0.485,1.65,2.135,0.435,1.366,1.8,1.059,4.234,5.293,0.192,0.654,0.846,128,7.8%,52,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady Tkachuk,OTT,22,LW,56,17,19,10,36,69,-17,18:13,14:55,3:17,0:01,0.999,1.117,2.116,0.862,1.005,1.867,1.631,1.631,3.263,0.304,0.339,0.643,220,7.7%,248,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shea Theodore,VGK,26,D,53,8,34,15,42,14,28,22:32,19:13,3:04,0:14,0.402,1.707,2.109,0.471,1.119,1.589,0,5.536,5.536,0.151,0.642,0.792,161,5.0%,22,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Horvat,VAN,26,C,56,19,20,11,39,23,-6,19:53,15:56,3:27,0:29,1.024,1.077,2.101,0.739,1.075,1.814,2.17,1.24,3.411,0.339,0.357,0.696,131,14.5%,64,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Hall,BOS,29,LW,53,10,23,8,33,26,-6,17:51,15:13,2:36,0:01,0.634,1.458,2.092,0.595,1.264,1.859,0.865,2.596,3.462,0.189,0.434,0.623,136,7.4%,34,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Stützle,OTT,19,C/LW,53,12,17,9,29,14,-18,15:44,12:52,2:52,0:00,0.863,1.223,2.086,0.704,1.056,1.759,1.578,1.972,3.55,0.226,0.321,0.547,111,10.8%,50,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazem Kadri,COL,31,C,56,11,21,9,32,34,-7,16:28,13:23,3:02,0:02,0.716,1.366,2.082,0.64,1.201,1.841,1.058,2.116,3.175,0.196,0.375,0.571,170,6.5%,36,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Fox,NYR,23,D,55,5,42,23,47,14,19,24:42,18:21,3:44,2:36,0.221,1.855,2.075,0.119,1.188,1.307,0.583,6.124,6.708,0.091,0.764,0.855,102,4.9%,23,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Kreider,NYR,30,LW/RW,50,20,10,14,30,34,-1,17:23,13:18,3:35,0:30,1.38,0.69,2.069,0.812,0.631,1.443,3.681,1.004,4.685,0.4,0.2,0.6,102,19.6%,115,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew Mangiapane,CGY,25,LW/RW,56,18,14,5,32,24,1,16:39,13:31,1:48,1:20,1.157,0.9,2.057,1.189,0.872,2.061,1.183,1.774,2.957,0.321,0.25,0.571,91,19.8%,51,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Brown,OTT,27,LW/RW,56,21,14,4,35,12,1,18:14,13:57,1:21,2:55,1.233,0.822,2.056,1.152,0.845,1.996,0.785,2.355,3.14,0.375,0.25,0.625,123,17.1%,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casey Mittelstadt,BUF,22,C/RW,41,10,12,6,22,10,-10,15:52,13:24,2:13,0:14,0.921,1.106,2.027,0.655,0.873,1.528,1.974,1.974,3.949,0.244,0.293,0.537,61,16.4%,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikael Backlund,CGY,32,C/RW,54,9,23,6,32,30,-7,17:35,14:06,1:38,1:50,0.568,1.452,2.021,0.63,1.26,1.889,0,4.081,4.081,0.167,0.426,0.593,144,6.3%,43,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dougie Hamilton,CAR,27,D,55,10,32,18,42,35,20,22:43,18:14,3:03,1:25,0.48,1.536,2.016,0.419,0.957,1.376,0.715,5.719,6.434,0.182,0.582,0.764,180,5.6%,52,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Petry,MTL,33,D,55,12,30,15,42,20,6,22:44,18:26,2:22,1:55,0.576,1.439,2.015,0.473,1.064,1.538,1.843,5.069,6.912,0.218,0.545,0.764,128,9.4%,97,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brayden Schenn,STL,30,C/LW/RW,56,16,20,9,36,35,-2,19:08,16:00,2:29,0:38,0.895,1.119,2.015,0.669,1.138,1.807,2.583,1.292,3.875,0.286,0.357,0.643,113,14.2%,119,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Hedman,TBL,31,D,54,9,36,24,45,28,5,25:02,19:19,3:20,2:23,0.399,1.597,1.996,0.46,0.747,1.207,0.333,7.663,7.996,0.167,0.667,0.833,136,6.6%,51,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristopher Letang,PIT,34,D,55,7,38,15,45,32,19,24:38,19:59,3:04,1:34,0.31,1.682,1.992,0.327,1.255,1.582,0.355,4.963,5.318,0.127,0.691,0.818,132,5.3%,92,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yegor Sharangovich,NJD,23,C/LW/RW,54,16,14,2,30,4,-4,16:48,14:01,1:00,1:46,1.058,0.926,1.983,1.03,1.109,2.139,2.218,0,2.218,0.296,0.259,0.556,114,14.0%,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Nelson,NYI,30,C,56,18,15,9,33,14,-5,17:50,14:43,2:07,1:00,1.081,0.901,1.982,0.801,0.946,1.747,3.539,1.011,4.55,0.321,0.268,0.589,121,14.9%,36,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Killorn,TBL,32,LW/RW,56,15,18,9,33,37,-1,17:54,13:01,3:04,1:48,0.898,1.077,1.975,0.823,1.069,1.892,1.744,1.395,3.138,0.268,0.321,0.589,121,12.4%,59,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Olofsson,BUF,26,LW/RW,56,13,19,15,32,6,-23,17:23,14:23,2:58,0:01,0.801,1.17,1.971,0.446,0.818,1.265,2.522,2.882,5.404,0.232,0.339,0.571,129,10.1%,17,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Drouin,MTL,25,C/LW,44,2,21,5,23,20,-8,16:05,13:47,2:17,0:00,0.17,1.78,1.949,0.198,1.582,1.78,0,2.982,2.982,0.045,0.477,0.523,76,2.6%,42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Nugent-Hopkins,EDM,28,C/LW,52,16,19,20,35,22,-4,20:46,14:41,4:12,1:52,0.889,1.055,1.944,0.55,0.628,1.178,2.465,3.012,5.477,0.308,0.365,0.673,135,11.9%,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Hayes,PHI,28,C,55,12,19,9,31,22,-2,17:31,13:40,2:31,1:19,0.747,1.183,1.93,0.718,1.037,1.755,1.294,2.589,3.883,0.218,0.345,0.564,127,9.5%,60,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinton Hughes,VAN,22,D,56,3,38,19,41,22,-24,22:48,19:04,3:40,0:03,0.141,1.785,1.926,0.168,1.067,1.235,0,5.549,5.549,0.054,0.679,0.732,98,3.1%,18,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Monahan,CGY,26,C,50,10,18,9,28,10,-6,17:41,14:00,3:10,0:29,0.678,1.221,1.9,0.514,1.113,1.627,1.511,1.889,3.399,0.2,0.36,0.56,98,10.2%,49,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joel Eriksson Ek,MIN,24,C,56,19,11,2,30,20,16,17:03,14:12,1:11,1:39,1.193,0.691,1.884,1.433,0.679,2.111,0,1.799,1.799,0.339,0.196,0.536,119,16.0%,105,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakob Chychrun,ARI,22,D,56,18,23,14,41,42,-6,23:23,19:39,2:44,0:59,0.825,1.054,1.878,0.709,0.763,1.472,1.958,3.524,5.481,0.321,0.411,0.732,176,10.2%,59,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Gabriel Pageau,NYI,29,C,54,14,14,8,28,10,10,16:47,13:38,1:47,1:21,0.926,0.926,1.853,0.57,0.896,1.467,3.106,1.864,4.97,0.259,0.259,0.519,81,17.3%,111,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Schultz,WSH,30,D,46,3,24,8,27,10,12,19:00,17:17,1:39,0:04,0.206,1.646,1.852,0.226,1.207,1.434,0,6.306,6.306,0.065,0.522,0.587,67,4.5%,28,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierre-Luc Dubois,WPG,23,C,46,9,12,6,21,38,-8,15:00,13:27,1:32,0:00,0.782,1.043,1.825,0.775,0.678,1.453,0.85,4.252,5.103,0.196,0.261,0.457,76,11.8%,59,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logan Couture,SJS,32,C,53,17,14,6,31,25,-11,19:15,14:45,2:33,1:56,0.999,0.823,1.822,1.074,0.767,1.842,0.883,1.765,2.648,0.321,0.264,0.585,114,14.9%,58,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rickard Rakell,PIT,28,LW/RW,52,9,19,4,28,12,-14,17:49,15:38,2:09,0:01,0.583,1.23,1.812,0.664,1.106,1.77,0,2.144,2.144,0.173,0.365,0.538,144,6.3%,65,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackenzie Weegar,FLA,27,D,54,6,30,3,36,45,29,22:06,19:01,0:25,2:39,0.301,1.507,1.809,0.35,1.46,1.81,0,7.889,7.889,0.111,0.556,0.667,101,5.9%,118,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viktor Arvidsson,LAK,28,LW/RW,50,10,15,3,25,21,9,16:36,14:24,2:09,0:01,0.723,1.084,1.807,0.666,1.166,1.832,1.111,0.555,1.666,0.2,0.3,0.5,151,6.6%,15,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pius Suter,DET,25,C/RW,55,14,13,3,27,14,-5,16:20,14:28,1:20,0:31,0.935,0.868,1.803,0.98,0.829,1.809,0.813,1.625,2.438,0.255,0.236,0.491,112,12.5%,28,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Puljujärvi,EDM,23,RW,55,15,10,4,25,16,6,15:07,13:59,1:06,0:01,1.082,0.721,1.803,1.013,0.624,1.637,1.959,1.959,3.918,0.273,0.182,0.455,115,13.0%,101,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Klingberg,DAL,29,D,53,7,29,17,36,23,-15,22:41,19:30,3:00,0:10,0.349,1.447,1.796,0.29,0.813,1.103,0.751,5.634,6.386,0.132,0.547,0.679,108,6.5%,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrik Laine,CBJ,23,LW/RW,46,12,12,7,24,25,-28,17:26,15:16,2:09,0:01,0.897,0.897,1.794,0.683,0.769,1.452,2.421,1.816,4.237,0.261,0.261,0.522,82,14.6%,36,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaden Schwartz,STL,28,LW,40,8,13,3,21,20,2,17:42,14:55,2:04,0:42,0.678,1.101,1.779,0.703,1.105,1.809,0.723,1.447,2.17,0.2,0.325,0.525,71,11.3%,40,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Domi,CAR,26,C/LW/RW,54,9,15,3,24,75,-18,15:13,13:37,1:35,0:00,0.657,1.095,1.752,0.571,1.141,1.712,1.402,0.701,2.102,0.167,0.278,0.444,99,9.1%,15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Henrique,ANA,31,C/LW,45,12,9,2,21,11,-8,16:02,13:21,1:47,0:54,0.998,0.748,1.746,1.098,0.699,1.797,0.747,0.747,1.494,0.267,0.2,0.467,77,15.6%,40,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Hughes,NJD,20,C/LW,56,11,20,7,31,16,-3,19:03,16:03,2:57,0:02,0.618,1.124,1.742,0.667,0.934,1.601,0.362,2.173,2.535,0.196,0.357,0.554,142,7.8%,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Girard,COL,22,D,48,5,27,9,32,16,15,23:13,19:34,2:16,1:23,0.269,1.453,1.722,0.319,1.15,1.469,0,4.958,4.958,0.104,0.563,0.667,79,6.3%,31,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Hartman,MIN,27,C/RW,51,7,15,3,22,33,0,15:04,12:35,1:08,1:20,0.546,1.171,1.717,0.561,1.028,1.589,0,3.082,3.082,0.137,0.294,0.431,74,9.5%,55,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Mantha,WSH,26,LW/RW,56,15,14,4,29,25,-14,18:07,15:33,2:28,0:05,0.887,0.828,1.714,0.826,0.895,1.722,1.3,0.433,1.733,0.268,0.25,0.518,138,10.9%,49,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Moore,LAK,26,LW/RW,56,10,13,2,23,18,-5,14:32,12:26,0:43,1:22,0.737,0.958,1.695,0.603,1.033,1.635,1.493,1.493,2.986,0.179,0.232,0.411,88,11.4%,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roman Josi,NSH,31,D,48,8,25,14,33,20,-11,24:20,20:48,3:00,0:32,0.411,1.284,1.694,0.421,0.661,1.082,0.417,5.417,5.833,0.167,0.521,0.688,141,5.7%,27,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Anderson,MTL,26,RW,52,17,7,2,24,38,-10,16:25,14:26,1:53,0:04,1.195,0.492,1.687,1.198,0.479,1.678,0.609,0.609,1.217,0.327,0.135,0.462,125,13.6%,139,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torey Krug,STL,30,D,51,2,30,13,32,25,11,22:32,19:17,2:51,0:24,0.104,1.565,1.67,0.061,1.098,1.159,0.411,4.934,5.345,0.039,0.588,0.627,110,1.8%,51,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikael Granlund,NSH,29,C/RW,51,13,14,7,27,14,-1,19:27,14:41,2:34,2:12,0.786,0.846,1.632,0.641,0.961,1.602,2.289,0.915,3.204,0.255,0.275,0.529,74,17.6%,46,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Johansen,NSH,29,C,48,7,15,7,22,22,0,16:56,13:42,2:44,0:29,0.516,1.107,1.623,0.365,1.003,1.367,1.371,1.828,3.199,0.146,0.313,0.458,67,10.5%,43,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis Lafrenière,NYR,19,LW/RW,56,12,9,0,21,8,-7,13:52,12:36,1:16,0:00,0.926,0.695,1.621,1.02,0.765,1.784,0,0,0,0.214,0.161,0.375,67,17.9%,43,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neal Pionk,WPG,26,D,54,3,29,10,32,20,6,21:57,19:05,2:05,0:46,0.152,1.468,1.62,0.116,1.164,1.28,0.533,4.794,5.326,0.056,0.537,0.593,100,3.0%,137,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Rielly,TOR,27,D,55,5,30,12,35,14,11,23:36,20:17,2:55,0:24,0.231,1.386,1.617,0.215,0.968,1.183,0.374,4.112,4.486,0.091,0.545,0.636,101,5.0%,63,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip Danault,LAK,28,C,53,5,19,0,24,24,9,16:52,14:15,0:19,2:17,0.336,1.275,1.611,0.397,1.429,1.827,0,0,0,0.094,0.358,0.453,73,6.9%,76,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
